,name,title,bio,board
0,Raney Aronson-Rath," Executive Producer, ""Frontline,"" PBS","Raney Aronson-Rath is the executive producer of “Frontline,” PBS’ flagship investigative journalism series, and is a leading voice on the future of journalism. She has been internationally recognized for her work to expand the program's reporting capacity and reimagine the documentary form across multiple platforms. She joined the Livingston Awards in 2005 as a regional judge. From the emergence of ISIS in Syria to the hidden history of the NFL and concussions to the secret reality of rape on the job for immigrant women, Aronson-Rath oversees Frontline’s acclaimed reporting and directs the series’ evolution and editorial vision. She has developed and managed nearly 30 in-depth, cross-platform journalism partnerships with outlets including ProPublica, The New York Times and Univision. Under her leadership, ""Frontline"" has won every major award in broadcast journalism and dramatically expanded its digital footprint. Prior to ”Frontline,” Aronson-Rath worked at ABC News and The Wall Street Journal. She earned her bachelor’s degree from the University of Wisconsin and her master’s from Columbia Journalism School.", National Judge 
1,Ken Auletta," Author, Media and Communications Writer, The New Yorker","Ken Auletta is an author and media writer who has written the “Annals of Communications” profiles and essays for The New Yorker since 1992. His articles first appeared in The New Yorker in 1978. The author of twelve books, his most recent book, “Frenemies: The Epic Disruption of the Ad Business (and Everything Else),” was published in 2018. Having joined the judging panel in 1982, Auletta is the longest-serving Livingston judge. Auletta became a Livingston Awards judge in 1984. Following his best-selling book, “Three Blind Mice: How the TV Networks Lost Their Way,” Auletta’s reporting on the media and communications for The New Yorker set a new, high standard for media analysis that encompasses both journalism and the companies for whom journalists often work. Ranking him as America’s premier media critic, the Columbia Journalism Review concluded, “No other reporter has covered the new communications revolution as thoroughly.” Auletta is well known for his books, which bring scholarly research alive with journalistic immediacy. “The Streets Were Paved with Gold,” about New York City’s near fiscal collapse in 1975, was followed by “The Underclass,” a phrase that has since entered our common vocabulary. His best-selling “Greed and Glory on Wall Street,” which chronicled the fall of Lehman Brothers, captured a decade of greed when it was published in 1985, long before such observations were common. “World War 3.0: Microsoft and Its Enemies,” was published in early 2001. In their reviews, The Washington Post described him as “our modern Liebling,” and U.S. News & World Report declared, “Backstory…confirms his place as dean of U.S. media critics.” Auletta received the 2002 National Magazine Award in profile writing for “The Lost Tycoon,” a portrait of Ted Turner in The New Yorker. He graduated from the State University of New York at Oswego in 1963 and received an M.A. in political science and public administration from the Maxwell School at Syracuse University. The State University of New York awarded him an honorary Doctor of Letters in 1990. Auletta was made a Literary Lion by the New York Public Library and recently received a Lifetime Achievement Award by the Society of Silurians.", National Judge 
2,John F. Harris," Co-Founder, Politico","John Harris was part of the small team that launched Politico in 2007, and in the years since oversaw the publication's growth as one of the country’s dominant news organizations covering national politics and the workings of the federal government in Washington. In 2015, Politico expanded with the launch of Politico Europe. Harris now serves as chairman of the editorial oversight committee at Politico, as well as editor-in-chief of Politico Europe. Harris became a Livingston Awards judge in 2009. Prior to launching Politico, Harris worked for 21 years as a reporter and editor at The Washington Post. After covering Virginia politics at the start of his career, he joined The Post’s national staff and spent six years covering Bill Clinton’s presidency, from January 1995 through January 2001. His time covering the Clinton White House was the foundation for his book, “The Survivor: Bill Clinton in the White House,” a New York Times bestseller and notable book of the year in 2005. Harris is seen frequently as a political analyst on such shows as MSNBC’s “Morning Joe,” CBS’s “Face the Nation” and PBS’s “Washington Week.” He was named by The Telegraph as one of Washington’s top journalists and by GQ as one of the capital’s most influential people. He is a native of Rochester, N.Y., and a 1985 graduate of Carleton College, where he serves on the board of trustees. He is married to Ann O’Hanlon. They live in Alexandria, Va. with their three children.", National Judge 
3,Matt Murray," Editor in Chief, The Wall Street Journal","Matt Murray is editor in chief of The Wall Street Journal and Dow Jones Newswires, responsible for all global newsgathering and editorial operations. He has been at the Journal for more than two decades and has served as national editor, deputy managing editor and deputy editor in chief. He joined Dow Jones & Company in 1994 as a reporter for the Pittsburgh bureau. As a reporter, he covered beats including banking, General Electric Co., food and management. As deputy editor, Murray oversaw the newsroom transformation called WSJ2020, a project to develop a mobile-first strategy, promote multiplatform digital journalism and increase diversity in the Journal's ranks, amid concerns that women and minorities were not well represented in leadership positions. He is the author of ""The Father and the Son,"" an account of his father's journey to becoming a monk, and the writer of ""Strong of Heart,"" a memoir by Thomas Von Essen, former New York City fire commissioner. Murray holds Bachelor's and Master's degrees in journalism from Northwestern University and lives in New York with his family.", National Judge 
4,Clarence Page," Columnist and Editorial Board Member, Chicago Tribune","At 17 and not yet out of Middletown High in Ohio, Clarence Page made his talents available to American journalism. The Middletown Journal and Cincinnati Enquirer took him on as a freelance writer and photographer. In addition to staff assignments with the Chicago Tribune and a column nationally syndicated to more than 120 newspapers, Page has kept his hand in freelancing ever since. Page became a Livingston Awards judge in 1993. Page was a reporter and assistant city editor for the Chicago Tribune, where he participated in a 1972 series on vote fraud, which won a Pulitzer Prize. He won a Pulitzer Prize again in 1989 for commentary as a nationally syndicated columnist and a member of the Chicago Tribune's editorial board. His book of autobiographical essays on race relations, titled “Showing My Color,” was published in 1996. His collection of columns titled “Culture Worrier,” was published in 2014. Page was a regular panelist on the PBS series, “The McLaughlin Group” and has been a frequent guest on other national radio and television programs. His articles also have been published by The New Republic, New York Newsday and The Wall Street Journal. Among other honors, he received the W. M. Kiplinger Distinguished Contributions to Journalism Award from the National Press Foundation in 2017. Page was born in Dayton, graduated from Ohio University in 1969, and received an honorary degree from his alma mater in 1993. He is married to Lisa Page, a creative writing professor at George Washington University. They have one son and live in Washington, D.C.", National Judge 
5,Lydia Polgreen," Head of Content, Gimlet","Lydia Polgreen is an award-winning journalist and media executive who currently serves as Head of Content at Gimlet, a podcast studio at Spotify. Prior to that, she served as editor in chief of HuffPost following a 15-year career at The New York Times that included roles as associate masthead editor, deputy international editor, South Africa bureau chief, a correspondent for the New Delhi bureau and chief of the West Africa bureau. Before joining The Times, Polgreen was a staff writer for the Orlando Sentinel and the Albany Times Union. She was a 2006 recipient of the George Polk Award for foreign reporting. She received the 2009 Livingston Award for international reporting for her series, “The Spoils,” an account of how mineral wealth brought misery and exploitation to much of Africa. In 2011, Polgreen was awarded the Columbia University Medal for Excellence.", National Judge 
6,Anna Quindlen, Author,"Anna Quindlen’s career as a journalist, columnist, best-selling author and novelist has spanned over 40 years. It began after she graduated from Barnard College in 1974 and took her first job as a reporter at The New York Post. Three years later she moved to The New York Times and during her 18 years at the paper held several posts including deputy metropolitan editor. Quindlen became a Livingston Awards judge in 2008. She became the third woman in Times history to write a regular column for its influential Op-Ed page with the 1990 launch of the nationally syndicated “Public and Private” column. In 1992 she was awarded the Pulitzer Prize for Commentary. She joined Newsweek in 1999 as a contributing editor, succeeding the late Meg Greenfield. Her column, “The Last Word,” appeared every other week on the magazine’s back page until 2009. Quindlen has published several nonfiction books, including three collections of her columns, “Living Out Loud,” “Thinking Out Loud” and “Loud and Clear.” She has also authored eight best-selling novels. Her ninth novel, ""Alternate Side,"" was published in 2018. She is a fellow of the American Academy of Arts and Sciences and holds honorary degrees from more than twenty American colleges and universities.", National Judge 
7,María Elena Salinas," Contributor, ABC News","María Elena Salinas is a contributor to ABC News. For more than 30 years, she served as co-anchor of Univision Network’s flagship daily newscast, “Noticiero Univision,” and for 18 years she was the co-host and correspondent for the network's weekly newsmagazine, “Aquí y Ahora.” Called the “Voice of Hispanic America” by The New York Times, Salinas is the most recognized Hispanic female journalist in the United States. Salinas became a Livingston Awards judge in 2017. Most recently, Salinas served as a contributor for CBS News, where she reported across platforms and on coverage of the 2020 presidential election. She also anchored the award-winning documentary, “Pandemia: Latinos in Crisis,” which looked at how COVID-19 has affected the Latinx community. Her career began in 1981, where she served as a reporter, anchor and public affairs host for KMEX-TV, Univision’s affiliate in Los Angeles. In 2017, Salinas was awarded honorary doctorate degrees from American University School of Communications and California State University, Fullerton. She also was honored with the Mickey Leland Humanitarian Award. She has earned top awards in broadcasting, including multiple Emmys, a Peabody Award, three Gracie Awards, an Edward R. Murrow Award and the Walter Cronkite Award for Excellence in Television Political Journalism. In 2012, she was the first Latina to be awarded the Emmy Award for Lifetime Achievement. She was also inducted into several Halls of Fame, including Broadcasting and Cable, the National Association of Broadcasters and the National Association of Hispanic Journalists (NAHJ) Focused on her mission to empower the Latino community, for two decades Salinas has worked as a spokesperson with the National Association of Latino Elected and Appointed Officials (NALEO), encouraging immigrants to become citizens, register to vote and participate in the political process. The program has grown to become a Peabody award-winning initiative entitled “Ya Es Hora” (It’s Time). For these efforts and more, Salinas is a recipient of the coveted Intrepid Award from the National Organization for Women (NOW), and has been honored by organizations including the Mexican-American Legal Defense and Educational Fund, NALEO and the Congressional Hispanic Caucus Institute.", National Judge 
8,Bret Stephens," Op-Ed Columnist, The New York Times","Stephens is an op-ed columnist for The New York Times. Previously, he was the foreign-affairs columnist for The Wall Street Journal, a member of the Journal's editorial board and the deputy editor of the editorial page, responsible for international opinion. Stephens became a Livingston Awards judge in 2017. Stephens was awarded the 2013 Pulitzer Prize for Commentary for his column “Global View,” receiving the honor for “his incisive columns on American foreign policy and domestic politics, often enlivened by a contrarian twist.” He is an on-air contributor on MSNBC. Bret Stephens joined the Journal in 1998, worked for the paper in New York and later in Brussels. In January 2002, he was named editor-in-chief of The Jerusalem Post, a position he assumed at age 28. At the Post he was responsible for the paper's news, opinion, digital and foreign-language operations, and also wrote a weekly column. Stephens returned to the Journal in late 2004. He has reported stories from around the globe and interviewed scores of world leaders. He has received numerous journalistic awards and commendations, and holds three honorary doctorates. His book ""America in Retreat: The New Isolationism and the Coming Global Disorder"" was published to wide acclaim in 2014. Stephens was born in New York, but spent his childhood in Mexico City. He graduated with honors from the University of Chicago in 1995 and has a Master of Science from the London School of Economics.", National Judge 
9,Kara Swisher," Co-Executive Producer, Code Conference and Co-Founder, Recode","One of tech’s leading journalists, Kara Swisher is a regular contributor to The New York Times opinion pages, host of the podcasts ""Sway"" and co-host of ""Pivot"" a podcast with New York magazine. She is the co-founder of Recode and co-executive producer of the Code Conference. Swisher became a Livingston Awards judge in 2014. Previously, Swisher co-produced and co-hosted The Wall Street Journal’s “D: All Things Digital,” with Walt Mossberg. It was the major high-tech conference with interviewees such as Bill Gates, Steve Jobs and other leading players in the tech and media industries. The gathering was considered one of the leading conferences focused on the convergence of tech and media industries. She and Mossberg were also the co-executive editors of the tech and media website, AllThingsD.com from 2007 until 2013. Swisher worked in the San Francisco bureau of The Wall Street Journal, where she wrote the column, “BoomTown,” which appeared on the front page of the Marketplace section and also on The Wall Street Journal Online at WSJ.com. Previously, Swisher covered breaking news about the web’s major players and Internet policy issues and wrote feature articles on technology for the paper. Swisher was a reporter at The Washington Post and an editor at the City Paper of Washington, D.C. She is the author of “aol.com: How Steve Case Beat Bill Gates, Nailed the Netheads and Made Millions in the War for the Web,” and the sequel, “There Must Be a Pony in Here Somewhere: The AOL Time Warner Debacle and the Quest for a Digital Future.” Swisher received her undergraduate degree from Georgetown University’s School of Foreign Service and her graduate degree at Columbia University’s School of Journalism.", National Judge 
