,name,title,coast,board,description
0,Bruce M. Ramer (Chair),"Partner, Gang, Tyre, Ramer & Brown",west,directors,
1,Lorrie Bartlett,"Co-Head of Talent, ICM Partners",west,directors,
2,Casey Bloys,"Chief Content Officer, HBO and HBO Max",west,directors,
3,Emerson Coleman,"Senior Vice President, Programming, Hearst Television",west,directors,
4,Susanne Daniels,"Global Head of Original Content, YouTube",west,directors,
5,Channing Dungey,"Chairman and CEO, Warner Bros. Television Group",west,directors,
6,Craig Erwich,"President, ABC Entertainment and Hulu Originals, Hulu",west,directors,
7,Cliff Gilbert-Lurie,"Senior Partner, Ziffren Brittenham LLP",west,directors,
8,Alix Jaffe,"Executive Vice President of Television, Village Roadshow Entertainment Group",west,directors,
9,Tilane Jones,"President, ARRAY Alliance",west,directors,
10,Roma Khanna,"Executive Chair, HiddenLight Productions",west,directors,
11,Charles D. King,"Founder & CEO, MACRO Television Studios",west,directors,
12,David Kramer,"Co-President, United Talent Agency",west,directors,
13,Steve Lafferty,"Head of Television and Managing Partner, Creative Artists Agency",west,directors,
14,Kristie Macosko Krieger,"Film and Television Producer, Amblin Partners",west,directors,
15,David Nevins,"Chief Creative Officer, CBS and Chairman and CEO, Showtime Networks, ViacomCBS",west,directors,
16,Andy Patman,"Partner and Head of Television Content, A3 Artists Agency",west,directors,
17,Rick Rosen,"Head of Television, William Morris Endeavor Entertainment",west,directors,
18,Jennifer Salke,"Head, Amazon Studios",west,directors,
19,Josh Sapan,"CEO, AMC",west,directors,
20,Ted Sarandos,"Co-Chief Executive Officer and Chief Content Officer, Netflix",west,directors,
21,David Stapf,"President, CBS Studios",west,directors,
22,Zack Van Amburg,"Head of Worldwide Video, Apple",west,directors,
23,John Huey (Chair),"Chair, East Coast Peabody Board of Directors",east,directors,
24,Philip Balboni,"Founder, CEO and Co-Executive Editor, DailyChatter",east,directors,
25,Nancy Barnes,"Senior Vice President of News and Editorial Director, NPR",east,directors,
26,Caty Borum Chattoo,"Director, Center for Media & Social Impact, American University",east,directors,
27,Katie Couric,"Founder, Katie Couric Media",east,directors,
28,Maria Cuomo Cole,"Founder, Cuomo Cole Productions",east,directors,
29,Nancy Dubuc,"CEO, Vice Media",east,directors,
30,Jessica Herrera-Flanigan,"Vice President, Policy & Philanthropy, Americas, Twitter",east,directors,
31,Kerri Hoffman,"CEO, PRX",east,directors,
32,Dave Isay,"Founder and President, STORYCORPS",east,directors,
33,Paula Kerger,"President and CEO, PBS",east,directors,
34,Chris McCarthy,"President, Entertainment & Youth Brands, ViacomCBS Domestic Media Networks, Viacom",east,directors,
35,Pat Mitchell,"CEO and Producer; Founder, TEDWomen & Chair, Sundance Institute board",east,directors,
36,Courteney Monroe,"President of Content, National Geographic Global Networks",east,directors,
37,Sheila Nevins,"Head, MTV Documentary Films, MTV Studios",east,directors,
38,Michele Norris-Johnson,"Founding Director, The Race Card Project; Columnist, The Washington Post & Former NPR Host",east,directors,
39,Soledad O’Brien,"Chief Executive Officer, Soledad O'Brien Productions",east,directors,
40,Malika Saada Saar,"Senior Counsel, Civil and Human Rights, Google",east,directors,
41,Connor Schell,Producer; Co-creator of 30 for 30 ESPN series,east,directors,
42,Regina K. Scully,"Founder and CEO, Artemis Rising Foundation",east,directors,
43,Kashif Shaikh,"Co-Founder and Executive Director, Pillars Fund",east,directors,
44,Neal Shapiro,"President and CEO, WNET New York Public Media",east,directors,
45,Marcia Smith,"President, Firelight Media",east,directors,
