,name,title,organization,board_years,join_year,description
0,Benjamin Bradlee,executive editor,The Washington Post,"[1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979]",,"(Courtesy of The New York Times)Ben Bradlee’s Charmed, Charming LifeBy David CarrOctober 22, 2014Civilians, people who don’t think the toppling of a sitting American president with newspaper articles is one of humankind’s lasting achievements, will read encomiums to Ben Bradlee like this one and wonder: What’s the big deal?After all, he didn’t cover the Watergate story for his Washington Post, he picked the reporters. It’s not as if he wrote the articles, he edited them. But journalists are people who will go where they are pointed, and Mr. Bradlee generally pointed to important, consequential subjects. People who worked for him went through walls to bring back those stories, some of which revealed the true course of American history and some of which altered it.The newspaper business can be a grand endeavor, but most of the people who commit journalism would never be mistaken for larger than life. Journalists are bystanders who chronicle the exploits of people who actually do things.But Ben Bradlee did things. He went to war, loved early and often, befriended and took on presidents, swore like a sailor, and partied like a movie star. Now that he is gone — he died on Tuesday at the age of 93 at his home in Georgetown — it is tough to imagine a newspaperman ever playing the kind of outsize role that he once did in Washington. Newspapers, and people’s regard for them, have shrunk since he ran The Post.He took over an also-ran paper and turned it into a formidable fighting ship like the one on which he served in World War II. Once the newspaper he oversaw gained steam, there was only the relentless effort to beat the competition, to find and woo talent, to pursue targets that The Post deemed worthy.In the more than quarter-century that he helped lead the newsroom, from 1965 to 1991, he doubled its staff and circulation, and multiplied its ambitions. He would have been a terrible newspaperman in the current context — buyouts, reduced print schedules, timidity about offending advertisers — but he was a perfect one for his time.“I had a good seat,” he told The American Journalism Review in a 1995 interview. “I came along at the right time with the right job and I didn’t screw it up.”Mr. Bradlee had the attention span of a gnat — anecdotes of him walking away from a conversation he ceased to find interesting were common — but he was completely hypnotized by the chase of a good story.His own life and persona make for a pretty fair tale: Boston Brahmin, junior naval officer in World War II, Paris in the ’50s, friend of the Kennedys, tormentor of Nixon. He was Zelig-like in his ability to appear at critical junctures in American history.I knew him in the mid-’90s, when he was vice president at large of The Post, but he was still large, still engaged, perpetually on the hunt for political gossip or newsroom intrigue. He was a decent, if relentlessly loyal, source when I covered The Post as the editor of the Washington City Paper. But even though I barely knew him, he was hilarious to bump into.“I like your paper a lot,” he’d deadpan, “whenever it doesn’t have its,” insert sailor adjective, “finger in my eye.” Cue big roar of laughter, dancing eyes, deep pleasure at his own riposte.Anybody who has ever watched Mr. Bradlee enter a room knows that whatever “it” is, he had a lot of it. There was the smile, a flash of white teeth matching the white collar of the custom striped shirts he wore without fail, and a voice that was a mix of gravel and gravitas that had a hearty (and generally profane) word for everybody. In a town notorious for big entrances — Bill Clinton, Marion Barry, Ronald Reagan, you name it — Mr. Bradlee tilted a room just by being himself.“He was one of those people who could make you feel like a superstar just by being in the same room with him,” David Von Drehle, a longtime Post writer now at Time, told me by phone on Tuesday. “Every woman in the room wanted to be with him, and every man in the room wanted to be him.”He was a durable celebrity in Washington and beyond, partly because he was the rare person who became more handsome as he grew older. A photo from just two years ago that ran with a Post piece shows a remarkably good-looking 90-plus-year-old, a patrician pirate. Few journalists could suggest that they were better looking than the movie stars who played them, as Jason Robards portrayed Mr. Bradlee in the film about Watergate, “All the President’s Men,” but Mr. Bradlee could have claimed as much. He was more Clark Gable than Clark Kent.By some estimations, including his own, his most enduring accomplishment had nothing to do with the Pentagon Papers or Watergate. After he became editor of The Post, he watched with envy as The New York Herald Tribune and magazines like Esquire and Playboy were using a different vocabulary, a so-called New Journalism, to expand the ways in which stories were told.So in 1969, he conjured Style, a hip, cheeky section of the newspaper that reflected the tumult of the times in a city where fashion and discourse were rived with a maddening sameness. The effect on the business was profound, as if Chuck Berry had walked into a Glenn Miller show and started playing guitar. He expanded the vernacular of newspapering, enabling real, actual writers to shed the shackles of convention and generate daily discourse that made people laugh, spill their coffee or throw The Post down in disgust.He had nothing of the commoner about him, hosting and grilling much of the world’s elite at the Georgetown home he shared with Sally Quinn, a Post society reporter who became his third wife. But although he grew up in Boston, not even knowing anyone who was black, he managed to make a credible newspaper in a majority-black city. His efforts to cover the black community in deeper ways, combined with an overeager desire to believe in an unbelievable story, led to a Pulitzer Prize being returned in the Janet Cooke affair, a big blemish on a very shiny run.Mr. Bradlee could be almost cartoonishly ambitious. Asked by Katharine Graham, The Post’s publisher, about his interest in the top job at the paper, he immediately replied that he would “give my left one” for the opportunity. He probably would have gotten along fine on the remaining testosterone.A player of favorites and an admirer of bravado, he famously vetoed the hiring of a reporter who had already been vetted and all but hired, because “nothing clanks when he walks.”Ben Bradlee clanked when he walked.\*\*\*The executive editor of The Post from 1965 to 1991, Bradlee oversaw the Post's prize-winning coverage of the Watergate affair. He came to journalism via Harvard, did a stint working for the State Department in Paris, before becoming a reporter and editor at Newsweek and The Post. In 1971, he defied the Nixon administration by publishing the Pentagon Papers, a top-secret study of the Vietnam War and endured harsh criticism from Republicans during the early days of the Watergate scandal. Vindicated by Nixon's resignation, Bradlee was lionized in the movie version of ""All the President's Men,"" where he was portrayed by Jason Robards. In retirement he published a memoir, ""A Good Life."" -- from washingtonpost.com 7/18/2014 Benjamin Bradlee joined the Pulitzer Board in 1969."
1,Wallace Caroll,editor and publisher,Winston (N.C.) Journal,"[1972, 1973]",,"Wallace Carroll, Publisher And Editor, Is Dead at 95Wallace Carroll, a retired newspaper editor and publisher who campaigned against the Vietnam War and led his paper to a Pulitzer Prize for environmental reporting, died on Sunday in a nursing home in Winston-Salem, N.C. He was 95.Mr. Carroll had first joined The Winston-Salem Journal and Sentinel in 1949 as executive editor but left in 1955 to serve eight years as news editor of the Washington bureau of The New York Times. He returned to Winston-Salem as editor and publisher from 1963 to 1973. Under his direction, the paper favored gun control and busing to integrate public schools, positions unpopular with many North Carolinians.Articles about environmental protection -- particularly a series on strip mining -- earned the paper the 1971 Pulitzer Prize for public service.On March 17, 1968, he published a signed editorial in Winston-Salem under the headline ''Vietnam -- Quo Vadis?'' that argued that United States policy in Southeast Asia was misguided and irrelevant to the goal of thwarting Soviet expansion. Dean Acheson, the former secretary of state and an adviser to President Lyndon B. Johnson, showed the editorial to Johnson and stood by while the president read it. Later that month, Johnson announced that he would not run for re-election and would begin peace negotiations with North Vietnam. In an article about events leading to Johnson's announcement, The Washington Post reported that Mr. Carroll's editorial had influenced his thinking.Two years later, Mr. Carroll wrote in another article: ''What we are losing is something more serious than the loss of any war or territory. It is the soul of America that is being lost in Vietnam. It is time for us to save the soul of America.''Wallace Carroll was born in Milwaukee on Dec. 15, 1906, and graduated from Marquette University. He began his journalism career as a reporter with The United Press in Chicago, and the news agency sent him to Europe to cover the Nazi advances. After the United States entered the war, Mr. Carroll became director of the United States Office of War Information in London. He was friendly there with James Reston, then a war correspondent in London for The Times. Mr. Reston wrote in his memoirs, ''Deadline,'' that Mr. Carroll emphasized ''with his usual common sense'' the importance of explaining United States policy to Americans and people in the allied countries but was often rebuffed by his superiors.After the war, he wrote a book about his work, ''Persuade or Perish,'' and became executive editor in Winston-Salem. Mr. Carroll maintained his friendship with Mr. Reston, and in 1955, Mr. Reston, as Washington bureau chief of The Times, hired Mr. Carroll to be his deputy with the title of news editor. Mr. Carroll was in charge of day-to-day coverage.In his history of The New York Times, ''The Kingdom and the Power,'' Gay Talese wrote that James Reston offered to make Mr. Carroll bureau chief if he would stay at The Times. But Mr. Carroll declined the offer and in 1963, he returned to Winston-Salem to be editor and publisher.Mr. Carroll's wife, Margaret, died last year. He is survived by a son, John S. Carroll, the editor of The Los Angeles Times, as well as by three daughters, Margaret Carroll of Washington, Rosamond Carroll of Kenfield, Calif., and Patricia Carroll of Arlington, Va.; four grandchildren and two great grandchildren.After he retired in 1973, Mr. Carroll lectured for several years at Wake Forest University. Although Mr. Carroll spent most of his career as a news executive, Reston wrote that he had ''a studied respect for the English language'' and ''could have edited Lincoln's Gettysburg Address and improved it.''-- (New York Times, July 30, 2002 by David E. Rosenbaum)Mr. Carroll Joined the Pulitzer Prize Board in 1969."
2,John Cowles,editorial chairman,The Minneapolis Star & Tribune,"[1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979]",,"John Cowles Jr., 82, Dies; Led Minneapolis Newspapersby Bruce Weber, March 19, 2012, The New York TimesJohn Cowles Jr., a Minneapolis newspaper executive and philanthropist whose support for arts, sports and entertainment helped elevate the Twin Cities' cultural community to national prominence, died on Saturday at home in Minneapolis. He was 82.The cause was lung cancer, his son Jay said.Scion of a family that owned The Des Moines Register, started Look magazine and came to dominate the newspaper business in Minneapolis for more than half a century, Mr. Cowles (rhymes with bowls) succeeded his father in 1961 as the editor of two Minneapolis papers, the morning Tribune and the evening Star. He became president and chief executive of The Minneapolis Star and Tribune Company (later renamed Cowles Media Company) in 1968.His tenure was rocky, but during it the papers won praise for aggressive local reporting, increased arts and science coverage and support for the civil rights movement and the Equal Rights Amendment in editorials. (Though he was generally described as a progressive liberal, Mr. Cowles served on a White House committee in 1965 to generate support for President Johnson's war policies.)The company's fortunes declined in the late 1960s, however, after several unsuccessful acquisitions, including Harper's magazine and the publisher Harper & Row. In 1979, The Star and Tribune Company bought The Buffalo Courier-Express but was forced to close it three years later.In 1982, the company merged The Star and The Tribune and cut its work force, prompting the editor of the merged papers to quit in protest. Mr. Cowles subsequently fired the publisher and assumed the role himself. But just a few months later, in early 1983, the board of Cowles Media, which included his sister and two cousins, dismissed him as publisher and head of the company as well.He remained on the board until 1984 and into the 1990s continued to control a substantial percentage of company stock through his management of a family trust. Cowles Media was sold to the McClatchy Company in 1998.Beyond his turbulent stewardship of the newspapers, Mr. Cowles was known in Minneapolis and St. Paul for his philanthropy and his belief that arts institutions and sports teams were necessary for cities to grow and thrive. In 1960, he served on a steering committee -- and by most accounts was its leading voice -- that persuaded the British director Tyrone Guthrie to establish a resident theater company in Minneapolis to perform classic works in repertory. He then helped raise $2.2 million, and the Guthrie Theater opened in 1963 with a production of ""Hamlet."" It became a model for nonprofit theaters across the country. Four decades later, he was co-chairman of the architecture committee for the new Guthrie Theater that opened in 2006.In the late 1970s and early 1980s, Mr. Cowles was active in the construction of the Metrodome, a state-financed domed stadium in downtown Minneapolis for the city's two major sports franchises, the Minnesota Twins and the Minnesota Vikings.His position on the project was controversial. Opponents, including staff members at The Minneapolis Tribune, thought it was a clear conflict of interest for the owner of a newspaper to take a public position on an important local issue it was covering. In 1979, staff members placed an ad in their own paper disassociating themselves from the company's involvement.The Hubert H. Humphrey Metrodome opened in 1982; the Twins have since moved to Target Field.Mr. Cowles said in a 2010 interview that the impetus for his support of the Guthrie and the Metrodome were the same.""Strengthening the cultural organization and life of the Twin Cities was not only going to make life more interesting and attractive for our families,""  he said, ""but was going to attract business and keep business here in town, and it was going to be just plain good business.""Mr. Cowles was born on May 27, 1929, in Des Moines, Iowa, where his grandfather, Gardner Cowles, had been publisher of The Des Moines Register since 1903. His father, John, and his uncle Gardner Cowles Jr., known as Mike, founded Look magazine. John Cowles Sr. bought The Minneapolis Star in 1935 and moved his family to Minneapolis in 1938.The next year, the family business bought The Minneapolis Journal and merged it with The Star, and then added The Minneapolis Tribune in 1941. Young John graduated from the Phillips Exeter Academy in New Hampshire and Harvard, and spent two years in the Army before joining the family business as a reporter.After his dismissal from the company in 1983, Mr. Cowles began a somewhat eclectic career. He studied agricultural economics, taught aerobics, toured in the United States and Europe with a modern dance company, and helped establish a women's professional fast-pitch softball league. He also continued his arts philanthropy around the Twin Cities; most recently, the Cowles Center, a theater devoted to dance, opened in Minneapolis last fall.Besides his son John III, known as Jay, Mr. Cowles is survived by his wife, the former Jane Sage Fuller, who is known as Sage Fuller Cowles and whom he married in 1952; another son, Charles; a daughter, Jane Sage Cowles; a stepdaughter, Tessa Flores; a sister, Sarah Cowles Doering; a brother, Russell; 10 grandchildren and two great-grandchildren."
3,Price Day,editor-in-chief,The Baltimore Sun,"[1972, 1973, 1974, 1975]",,"A native of Plainview, TX, Price Day (1907-1978) was graduated from Princeton University in 1928. Following a variegated career as a freelance cartoonist and writer of science fiction & children's stories (most notably the young adult novel Well, About the Penguin [Simon & Schuster, 1939]) and journeyman reporter with the Fort Lauderdale News, he briefly served as city editor of the Fort Lauderdale Times in 1942. Thereafter, he held a variety of positions with The Baltimore Sun, including evening edition rewriteman (1942), war correspondent (1943-45) and foreign correspondent (1945-60). He was the only individual newspaper affiliate present for the signing of the initial draft of the German Instrument of Surrender at Reims; in the latter capacity, he covered such epochal events as the Potsdam Conference and the Nuremberg trials. In 1949, he was awarded the Pulitzer Prize for International Reporting for a series on life in post-independence India that included the final newspaper interview with Mahatma Gandhi. This led to several series on the geopolitical vicissitudes of the British Commonwealth that were issued as short books by the Sun, including Crisis in South Africa (1948).In 1960, Day was appointed editor-in-chief of the Sun. He would ultimately serve in this capacity for fifteen years, a period that overlapped with his Pulitzer Advisory Board appointment from 1971-1975. While on the Board, Day served as a tireless advocate for international reportage and Asian correspondence in particular. Following his many peregrinations around the world, Day came full circle by retiring to the Plainview area, where he died on December 1, 1978. Although his eminent journalistic career ultimately eclipsed his earlier efforts, Day continued to write fiction throughout his life. A 1958 short story (""Four O'Clock"") was adapted by Rod Serling into a 1962 Twilight Zone episode (regarded as one of the ""creepiest"" in Serling's oeuvre) starring Theodore Bikel and Phyllis Love. Perhaps as a direct consequence of this exposure, the original story is frequently assigned in middle school curricula to this day.--Sean Murphy"
4,William B. Dickinson,executive editor,The Philadelphia Bulletin,"[1972, 1973]",,"(Courtesy of the University of Wisconsin)William Boyd Dickinson Jr. was born May 18, 1908 in Kansas City, Missouri. He graduated from the University of Kansas in 1929. After working for the Kansas City Star, he went to the United Press as a reporter from 1930-1948. While with UPI he served as a war correspondent in London from 1941-1944 and in Australia and Japan from 1944-1947. He married Joan Younger in 1949, and the two relocated to Philadelphia where he joined the Philadelphia Bulletin as an editor-a position he would hold until his retirement in 1973. He continued to write and report until his death in 1978."
5,Robert J. Donovan,associate editor,Los Angeles Times,"[1972, 1973, 1974, 1975]",,"(Courtesy of The New York Times)Robert J. Donovan, 90, the Author of 'PT-109'By Anthony RamirezAugust 10, 2003Robert J. Donovan, a ''shoe leather'' newspaper reporter without a college education who became a Washington correspondent, best-selling author and presidential historian, died on Friday at Bayfront Medical Center in St. Petersburg, Fla. A longtime resident of Washington, he moved to Florida in 2001. He was 90.Best known for ''PT-109'' (McGraw-Hill, 1961), his stirring account of John F. Kennedy's war experiences, Mr. Donovan traveled 30,000 miles while doing research for the book and brought back a piece of coral from the South Pacific, which Kennedy kept on his desk after he became president. Mr. Donovan interviewed all 10 natives of the Solomon Islands involved in rescuing Kennedy and his crew after a Japanese destroyer sank their patrol torpedo boat in 1943. A 1963 movie based on the book starred Cliff Robertson as Kennedy.Mr. Donovan wrote 14 books, many about Washington politics, and was instrumental in the revival of Harry S. Truman's flagging reputation with a two-volume biography, ''Conflict and Crisis: The Presidency of Harry S. Truman, 1945-48'' (Norton, 1977) and ''Tumultuous Years: The Presidency of Harry S. Truman, 1949-53'' (Norton, 1982).Born in Buffalo in 1912, Mr. Donovan began his career in journalism at The Courier-Express there, earning $6 a week as a copy boy. He could not afford college in the Depression years, a career-killing drawback, it would seem, for the big-time newspaper Mr. Donovan had his heart set on, The New York Herald Tribune. But Mr. Donovan got to know an editor who was tired of hiring Yale University graduates. ''When I told him I hadn't been to college, a light came into his eyes,'' Mr. Donovan once told an interviewer.A 26-year career with The Herald Tribune followed. He became its Washington bureau chief in 1957. The consummate insider, he could nonetheless needle Washington officials.His journalism career was interrupted by World War II, when against the strenuous advice of a colleague at The Courier-Express, Mr. Donovan submitted to being drafted by the Army, though he had a young wife, Martha Fisher, and a small daughter, Patricia. Mr. Donovan survived the Battle of the Bulge, he noted in a laconic retelling, but the colleague did not survive the war. He died in 1945 when a B-25 bomber hit the Empire State Building.The Chandler family, intent on strengthening the journalism reputation of The Los Angeles Times, which it controlled, wooed Mr. Donovan from The Herald Tribune and made him the newspaper's Washington bureau chief in 1963. He narrowly missed becoming the top editor of the paper in 1970. According to ''The Life and Times of Los Angeles,'' (Atheneum, 1984) by Marshall Berges, Mr. Donovan was puzzled by the newspaper's culture, where editorial meetings were conducted in ''elliptical code.'' Otis Chandler, the publisher, got wind of Mr. Donovan's candid self-assessment to colleagues: ''I shouldn't be editor of this paper; I don't know what they're talking about.''Mr. Donovan is survived by his second wife, Gerry Van Der Heuvel, whom he married in 1978, and his stepchildren, Claudia, of Amherst, Mass., and Heidi, of Ottawa, Kan. His first wife, Martha Fisher, died in 1974. Their children, who also survive, are Patricia, Amy, and Peter Donovan, all of Washington. "
6,Lee Hills,editorial chairman emeritus,"Knight-Ridder Newspapers, Inc.","[1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982]",,
7,John Hohenberg,"executive secretary, The Pulitzer Prizes",Columbia University,"[1972, 1973, 1974, 1975, 1976]",,"(Courtesy of The New York Times)John Hohenberg, 94, Former Pulitzer Prize Official, DiesBy Douglas MartinAugust 8, 2000John Hohenberg, who began his journalism career as a teenager by snatching an interview with the president of the United States and went on to become administrator of the Pulitzer Prizes, died Sunday morning at his home in Knoxville, Tenn. He was 94.Mr. Hohenberg also taught journalism for many years at Columbia University and wrote a widely used textbook on reporting. In all, he wrote 22 books -- including a novel at the age of 80 -- and maintained an arduous professional itinerary.He wrote for numerous New York newspapers and taught at universities from New York to Tennessee to Florida to Kansas to Syracuse. He traveled the world, particularly Asia, lecturing for the State Department and other federal agencies. He began the practice of publishing the names of Pulitzer jurors and of drawing jurors from regions beyond New York.Mr. Hohenberg came from the golden age of competitive newspapering, covering the 1935 trial of Bruno Richard Hauptmann -- who was convicted of kidnapping Charles Lindbergh's baby -- hanging out with Hemingway in Paris and reporting on the birth pangs of the United Nations and Israel. Tom Goldstein, dean of the Graduate School of Journalism at Columbia University, speaks of ''the John Hohenberg legend.''Mr. Hohenberg's larger mission was elevating journalism itself, and he viewed the painstaking selection of Pulitzer winners as another means of raising the bar.''Our news media, our reporters and editors -- if they are serious people and if they really mean business and aren't merely sensation-minded -- should be the conscience of the American people,'' he said in a 1988 interview in The New York Times.He abhorred pomposity and wordiness, regarding journalism as a spontaneous ballet that could seldom be perfect because of daily deadlines. His motto, first growled to him by a crusty editor, was, ''Go with what you got.'' Generations of journalism students at Columbia committed the slogan to memory and the class of '69 had it printed on sweatshirts.Mr. Hohenberg was born on Feb. 17, 1906, in a tenement on the Lower East Side of Manhattan, the son of Louis Hohenberg, a Hungarian immigrant, and Jettchen Scheuermann, an immigrant from Germany. When he was 18 months old, the family moved to Seattle, where his father set up several small businesses.He started as an engineering student at the University of Washington but did not like it. His father refused to pay for the liberal arts education he wanted, so the gangling 17-year-old showed up at The Seattle Star, now closed, to ask for a job.The response was brusque, he later recalled. ''Listen, kid,'' the city editor said, ''the president of the United States is coming to Seattle tomorrow. You get me an exclusive interview and I'll give you a job.''When the Secret Service demanded to see his nonexistent press credentials, employment seemed unlikely. He called the office, fearing that his name would mean nothing.''Mercifully,'' he wrote later, ''by grace of the kindly Jehovah that watches over babies, pretty girls and addled young men, the city editor remembered me and was sportsman enough to clear me for passage to the pier as a Star reporter.''The result was a second's conversation in which President Warren G. Harding allowed that he liked Seattle. Mr. Hohenberg turned the remark into a three-page story. ''For better or worse, I had become a newspaperman,'' Mr. Hohenberg said.The family soon moved back to New York to be nearer relatives. While attending journalism school at Columbia, Mr. Hohenberg worked for The New York Graphic, his first stop in 25 years of working for New York papers. After graduating, he toured Europe as the recipient of a Pulitzer Traveling Scholarship.In 1948, as he was reporting on the establishment of the United Nations at Lake Success, N.Y., he was asked to substitute for a Columbia journalism teacher who had broken a leg. The students liked him, he liked the students and a new career began.In 1960, he published what became the basic reporting and writing textbook used at many journalism schools, ''The Professional Journalist'' (Holt, Rinehart & Winston), which went through five editions and has been translated into Chinese, Japanese, Arabic and Spanish.His 21 other books ranged from several histories of the Pulitzer Prize to an exhaustive history of foreign correspondence, recounting its beginnings in the Napoleonic Wars and offering long analyses of the challenges facing journalism.Soon after his appointment in 1953 as administrator of the Pulitzer Prizes and secretary of the Advisory Board on Pulitzer Prizes, he nudged at least two members of the Pulitzer board into seeing all the plays under consideration for the drama prize, something not necessarily done before.In later years, he wrote about how the Columbia trustees, as final arbiters, refused to accept the Pulitzer board's recommendation that The New York Times be given a prize in 1972 for its publication of stories based on the Pentagon Papers, the government's classified history of the Vietnam War.The trustees were uneasy over the newspaper's decision to report classified material, an unusual action for journalists in that period. Columbia's president, William J. McGill, persuaded the trustees to reverse their decision.Then, Mr. McGill and Mr. Hohenberg persuaded the trustees to yield veto power over the Pulitzers, perhaps the biggest procedural change during Mr. Hohenberg's tenure, which ended in 1975. The year before, he had accepted an appointment as professor of journalism at the University of Tennessee. That was the first of a chain of academic stops over the last two decades of his life.Mr. Hohenberg married Dorothy Lannier, a classmate at Columbia, in 1928. She died in 1977. They had no children. He is survived by his second wife, JoAnn Fogarty Johnson, and her two children, whom he adopted: Pamela Green of Knoxville and Eric of Dawsonville, Ga.In 1986, Mr. Hohenberg's wife found a yellowing manuscript on newspaper copy paper in the basement that turned out to be the skeleton of a spy novel he had abandoned in the 1920's. He whipped it into shape and sold it, under the title ''The Parisian Girl.''In 1976 he received a Pulitzer Prize special award for his service to journalism. The citation said thousands of journalists had learned to value his tough integrity.''From you they learned to respect the language,'' it read. ''They might split an infinitive because you taught them how. But they dare not dangle a participle. You forbid it.'' "
8,William J. McGill,president,Columbia University,"[1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980]",,"William J. McGill, distinguished psychologist, author and president of Columbia University during the decade of the 1970s, died Sunday, Oct. 19, in La Jolla, Calif. He was 75 years old. He had suffered a severe heart attack last Wednesday and was a patient in John M. and Sally B. Thornton Hospital of the University of California, San Diego. He had been chancellor of UCSD from 1968 to 1970, before joining Columbia, and had been an adjunct professor there again for the past 17 years. Dr. McGill was a leading mathematical psychologist, highly regarded as both a theoretician and experimentalist. He made lasting research contributions in quantitative psychology, particularly in information processing, among them the precise measurement of reaction times to stimuli.At the time of his death, he had nearly completed a book with a former Columbia colleague on how the brain processes sound and light to expand the range of human perception.But it was Dr. McGill's skill in handling conflict that brought him public attention as chancellor of UCSD and recommended him for the Columbia presidency at the turbulent start of the 1970s. He calmed the San Diego campus when student demonstrations occurred and a controversial appointment was criticized. At Columbia, he began his decade-long term by dealing with student unrest face-to-face, at times plunging into crowds of anti-war and civil rights protesters to talk with their leaders.His legacy at both Columbia and San Diego includes heightened curricular and scholarly attention to human rights issues. ""Dr. McGill made an invaluable contribution to Columbia during a crucial decade in its history,""The University's current president, George Rupp, said. ""He continued to be a great friend of Columbia, and he will be missed tremendously both here in New York and in California.""""Bill McGill was one of the great figures in higher education in the period following World War II,"" said University of California President Richard C. Atkinson. ""He was a superb scientist, distinguished president of two of America's leading universities, and a passionate advocate of university involvement in addressing the challenging issues facing society.""William James McGill was born Feb. 27, 1922, in New York City, the son of a musician and grandson of an Irish immigrant dockworker. Raised in the Bronx, he sold shoes and ran an elevator at Radio City Music Hall as a schoolboy. After receiving bachelor's and master's degrees at Fordham University, he earned the Ph.D. in experimental psychology in 1953 at Harvard University and was an assistant professor at the Massachusetts Institute of Technology until 1956, when he joined Columbia.He was chairman of the psychology department from 1961 to 1963 and left in 1965 to co-found the psychology department at the newly established UCSD campus. His research contributions were at the forefront of advanced knowledge of sensory mechanisms.He published many scientific papers analyzing the flow of sensory information, particularly between the ear and the brain. The week before he died, he and Malvin C. Teich, professor emeritus of engineering science and applied physics at Columbia and now a professor at Boston University, had spent days polishing a final text for a new book. It will propose that the brain amplifies, and in the process adds, a special kind of noise in transmitting visual and auditory signals up the sensory pathways so that we can hear and see both very faint and very strong sound and light. ""It's a book he long wanted to write, and it will be published,"" Dr. Teich said today.In 1968, Dr. McGill chaired a search committee to select a new UCSD chancellor for what was becoming a restless campus. When five finalists refused the offer, he was recruited for the post himself, which he accepted warily. Confrontation ensued when he stood his ground against then-governor Ronald Reagan in re-appointing Marxist philosopher Herbert Marcuse and when he reasoned with militant students who in sit-ins and teach-ins demanded a curriculum emphasizing Marxist doctrine.His style and courage, as well as his scholarly stature, attracted the search committee at Columbia, and he became the University's 16th president on Sept. 1, 1970, at the age of 48. He immediately faced many of the same anti-war and civil rights protests on a campus memorably struck by student unrest two years earlier. He modernized the administration, created a dialogue with student leaders and finished the job of peacemaking that his predecessor, Andrew W. Cordier, had begun.During his presidency, the University's fund-raising performance recovered dramatically; he balanced the budget and completed $100 million in new construction. New buildings included the Sherman Fairchild Center for the Life Sciences, the Julius and Armand Hammer Health Sciences Center, the International Affairs Building, the Geosciences building at Lamont-Doherty Earth Observatory and the Dodge Physical Fitness Center and an expanded Avery Hall. Faculty honors and research advances multiplied across the campus.The concept of general education, pioneered at Columbia in 1919, was expanded to systematically introduce humanities instruction at the graduate and professional levels. Curricular innovations in the schools of architecture, engineering, business and medicine resulted, and a new Center for the Study of Human Rights was established. In 1976, the University created and endowed the Society of Fellows in the Humanities, which supports the work of outstanding young scholars on annual appointments. The programs became models for other American universities.When he announced in 1979 that he would retire the following year, the chairman of the Trustees, Arthur Krim, said: ""You leave Columbia with its academic excellence intact, its campus vibrant, its administration reorganized and its budget in balance. You have won the confidence of students and faculty, not by throttling but by encouraging the rights of dissent so important to an academic environment, yet leading whenever required with a firm and just hand. All this adds up to a considerable personal accomplishment. We Trustees who have lived through these years with you believe it to be the single most outstanding contribution made by any university leader in the past decade to the preservation and enhancement of a great private university.""Dr. McGill returned to UCSD in 1980, became an adjunct professor of psychology and continued his research. In 1983 McGraw-Hill published his book, The Year of the Monkey: Revolt on Campus, in which he chronicled his first year as UCSD chancellor. His office was in William J. McGill Hall, the former psychology-linguistics building named for him in 1990 in honor of his contributions as administrator and scientist.Dr. McGill was awarded 22 honorary degrees and received Columbia's highest honor: the Alexander Hamilton Medal of Columbia College. He was elected to the American Academy of Arts and Sciences, received the Gold Medal of the National Institute for Social Science and was a member of the Society of Experimental Psychologists.He was chairman of the New York State Special Advisory Panel on Medical Malpractice in 1975-76, of the American Council on Education in 1976 and of the Carnegie Commission on the Future of Public Broadcasting in 1977.He is survived by his wife, the former Ann Rowe; a daughter, Mrs. Thomas B. (Rowena) Springer of Reno, Nev.; a son, William R., of San Diego, and two grandsons. The funeral will be private. Memorial services are being planned. --http://www.columbia.edu/cu/pr/97/19206.html"
9,Sylvan Meyer,editor,The Miami News,"[1972, 1973, 1974]",,"(Courtesy of The New York Times)Sylvan H. Meyer -- Editor, 79Correction AppendedSylvan H. Meyer, a newspaper editor and outspoken white supporter of civil rights in Georgia in the 1950's and 60's, died on April 8 at his home in Dahlonega, Ga. He was 79.Mr. Meyer, who was chairman of the Georgia advisory committee to the United States Civil Rights Commission from 1958 to 1965, advocated peaceful integration, a stand that led to death threats against him and his family.He was editor of The Times of Gainesville, a daily newspaper in the North Georgia mountains, from 1950 to 1969 and editor of The Miami News in Florida from 1969 to 1973. He was also on the American Civil Liberties Union's national advisory counsel.Born in Atlanta, Mr. Meyer graduated from the University of North Carolina.His survivors include his wife, Alice Heineman Meyer; a daughter, Erica Rauzin of Miami Beach; two sons, David N., II, of Manhattan and Jason, of Pennington, N.J.; five grandchildren; and a brother, Leonard, of Atlanta.Correction: April 24, 2001, Tuesday An obituary of the Georgia newspaper editor Sylvan H. Meyer on Saturday misstated the given name of his wife, who survives him. She is Anne Heineman Meyer, not Alice."
